地域,可用区,机型,CPU(核),内存(G),按量T1(元/小时),按量T2(元/小时),按量T3(元/小时),标准月价(元),包月(元),包年(元),3年(元),5年(元)
中国香港,香港三区,标准型S5,1,1,0.11,0.11,0.11,59,59,587.64,1062,1770
中国香港,香港二区,标准型S5,1,2,0.23,0.23,0.23,119,119,1185.24,2142,3570
中国香港,香港二区,标准型S5,1,4,0.36,0.36,0.36,186,186,1852.56,3348,5580
中国香港,香港二区,标准型S5,2,4,0.46,0.46,0.46,238,238,2370.48,4284,7140
中国香港,香港二区,标准型S5,2,8,0.72,0.72,0.72,372,372,3705.12,6696,11160
中国香港,香港二区,标准型S5,4,8,0.96,0.96,0.96,496,496,4940.16,8928,14880
中国香港,香港二区,标准型S5,4,16,1.45,1.45,1.45,744,744,7410.24,13392,22320
中国香港,香港二区,标准型S5,8,16,1.93,1.93,1.93,992,992,9880.32,17856,29760
中国香港,香港二区,标准型S5,8,32,2.89,2.89,2.89,1488,1488,14820.48,26784,44640
中国香港,香港二区,标准型S5,12,24,2.89,2.89,2.89,1488,1488,14820.48,26784,44640
中国香港,香港二区,标准型S5,16,32,3.86,3.86,3.86,1984,1984,19760.64,35712,59520
中国香港,香港二区,标准型S5,16,64,5.79,5.79,5.79,2976,2976,29640.96,53568,89280
中国香港,香港二区,标准型S5,24,48,5.79,5.79,5.79,2976,2976,29640.96,53568,89280
中国香港,香港二区,标准型S5,24,96,8.68,8.68,8.68,4464,4464,44461.44,80352,133920
中国香港,香港二区,标准型S5,32,64,7.71,7.71,7.71,3968,3968,39521.28,71424,119040
中国香港,香港二区,标准型S5,32,128,11.57,11.57,11.57,5952,5952,59281.92,107136,178560
中国香港,香港二区,标准型S5,48,96,11.57,11.57,11.57,5952,5952,59281.92,107136,178560
中国香港,香港二区,标准型S5,48,192,17.36,17.36,17.36,8928,8928,88922.88,160704,267840
中国香港,香港二区,标准型S5,64,256,23.14,23.14,23.14,11904,11904,118563.84,214272,357120
中国香港,香港一区,标准型S3,1,1,0.11,0.06,0.04,59,59,587.64,1062,1770
中国香港,香港一区,标准型S3,1,2,0.23,0.12,0.08,119,119,1185.24,2142,3570
中国香港,香港一区,标准型S3,1,4,0.36,0.18,0.12,186,186,1852.56,3348,5580
中国香港,香港一区,标准型S3,2,4,0.46,0.23,0.16,238,238,2370.48,4284,7140
中国香港,香港一区,标准型S3,2,8,0.72,0.36,0.25,372,372,3705.12,6696,11160
中国香港,香港一区,标准型S3,4,8,0.96,0.48,0.33,496,496,4940.16,8928,14880
中国香港,香港一区,标准型S3,4,16,1.45,0.72,0.49,744,744,7410.24,13392,22320
中国香港,香港一区,标准型S3,8,16,1.93,0.97,0.66,992,992,9880.32,17856,29760
中国香港,香港一区,标准型S3,8,32,2.89,1.45,0.98,1488,1488,14820.48,26784,44640
中国香港,香港一区,标准型S3,12,24,2.89,1.45,0.98,1488,1488,14820.48,26784,44640
中国香港,香港一区,标准型S3,12,48,4.34,2.17,1.48,2232,2232,22230.72,40176,66960
中国香港,香港一区,标准型S3,16,32,3.86,1.93,1.31,1984,1984,19760.64,35712,59520
中国香港,香港一区,标准型S3,16,64,5.79,2.9,1.97,2976,2976,29640.96,53568,89280
中国香港,香港一区,标准型S3,24,48,5.79,2.9,1.97,2976,2976,29640.96,53568,89280
中国香港,香港一区,标准型S3,24,96,8.68,4.34,2.95,4464,4464,44461.44,80352,133920
中国香港,香港一区,标准型S3,32,64,7.72,3.86,2.63,3968,3968,39521.28,71424,119040
中国香港,香港一区,标准型S3,32,128,11.58,5.79,3.94,5952,5952,59281.92,107136,178560
中国香港,香港一区,标准型S3,48,96,11.58,5.79,3.94,5952,5952,59281.92,107136,178560
中国香港,香港一区,标准型S3,48,192,17.37,8.69,5.91,8928,8928,88922.88,160704,267840
中国香港,香港一区,标准型S3,64,256,23.16,11.58,7.88,11904,11904,118563.84,214272,357120
中国香港,香港一区,标准型S3,80,320,28.94,14.48,9.85,14880,14880,148204.8,267840,446400
中国香港,香港二区,标准型S2,1,1,0.12,0.06,0.04,59,59,587.64,1062,1770
中国香港,香港二区,标准型S2,1,2,0.23,0.12,0.08,119,119,1185.24,2142,3570
中国香港,香港二区,标准型S2,2,2,0.36,0.18,0.12,186,186,1852.56,3348,5580
中国香港,香港二区,标准型S2,2,4,0.46,0.23,0.16,238,238,2370.48,4284,7140
中国香港,香港二区,标准型S2,2,8,0.72,0.36,0.25,372,372,3705.12,6696,11160
中国香港,香港二区,标准型S2,4,8,0.96,0.48,0.33,496,496,4940.16,8928,14880
中国香港,香港二区,标准型S2,4,16,1.44,0.72,0.49,744,744,7410.24,13392,22320
中国香港,香港二区,标准型S2,8,16,1.93,0.96,0.66,992,992,9880.32,17856,29760
中国香港,香港二区,标准型S2,8,32,2.89,1.44,0.98,1488,1488,14820.48,26784,44640
中国香港,香港一区,标准型S2,12,24,2.89,1.45,0.98,1488,1488,14820.48,26784,44640
中国香港,香港二区,标准型S2,12,48,4.33,2.17,1.47,2232,2232,22230.72,40176,66960
中国香港,香港二区,标准型S2,16,32,3.86,1.93,1.31,1984,1984,19760.64,35712,59520
中国香港,香港二区,标准型S2,16,64,5.78,2.89,1.96,2976,2976,29640.96,53568,89280
中国香港,香港二区,标准型S2,24,48,5.78,2.89,1.97,2976,2976,29640.96,53568,89280
中国香港,香港二区,标准型S2,24,96,8.67,4.33,2.95,4464,4464,44461.44,80352,133920
中国香港,香港一区,标准型S2,32,64,7.71,3.86,2.62,3968,3968,39521.28,71424,119040
中国香港,香港一区,标准型S2,32,128,11.55,5.77,3.93,5952,5952,59281.92,107136,178560
中国香港,香港二区,标准型S2,56,224,20.22,10.11,6.88,10416,10416,103743.36,187488,312480
中国香港,香港一区,标准型S1,1,1,0.09,0.04,0.03,30,30,298.8,540,900
中国香港,香港二区,高IO型IT5,16,64,6.84,6.84,6.84,3516,3516,35019.36,63288,105480
中国香港,香港二区,高IO型IT5,32,128,13.67,13.67,13.67,7032,7032,70038.72,126576,210960
中国香港,香港二区,高IO型IT5,64,256,27.34,27.34,27.34,14064,14064,140077.44,253152,421920
中国香港,香港二区,内存型M5,1,8,0.53,0.53,0.53,253,253,2519.88,4554,7590
中国香港,香港二区,内存型M5,2,16,1.05,1.05,1.05,506,506,5039.76,9108,15180
中国香港,香港二区,内存型M5,4,32,2.11,2.11,2.11,1012,1012,10079.52,18216,30360
中国香港,香港二区,内存型M5,8,64,4.22,4.22,4.22,2024,2024,20159.04,36432,60720
中国香港,香港二区,内存型M5,12,96,6.32,6.32,6.32,3036,3036,30238.56,54648,91080
中国香港,香港二区,内存型M5,16,128,8.43,8.43,8.43,4048,4048,40318.08,72864,121440
中国香港,香港二区,内存型M5,24,192,12.65,12.65,12.65,6072,6072,60477.12,109296,182160
中国香港,香港二区,内存型M5,32,256,16.87,16.87,16.87,8096,8096,80636.16,145728,242880
中国香港,香港二区,内存型M5,64,512,33.73,33.73,33.73,16192,16192,161272.32,291456,485760
中国香港,香港三区,内存型M5,84,700,45.62,45.62,45.62,21896,21896,218084.16,394128,656880
中国香港,香港二区,内存型M2,1,8,0.48,0.24,0.16,247.5,247.5,2465.1,4455,7425
中国香港,香港二区,内存型M2,2,16,0.97,0.48,0.33,495,495,4930.2,8910,14850
中国香港,香港二区,内存型M2,4,32,1.93,0.97,0.66,990,990,9860.4,17820,29700
中国香港,香港二区,内存型M2,8,64,3.86,1.93,1.31,1980,1980,19720.8,35640,59400
中国香港,香港二区,内存型M2,12,96,5.8,2.9,1.97,2970,2970,29581.2,53460,89100
中国香港,香港二区,内存型M2,16,128,7.73,3.86,2.63,3960,3960,39441.6,71280,118800
中国香港,香港二区,内存型M2,16,192,10.54,5.27,3.59,5400,5400,53784,97200,162000
中国香港,香港二区,内存型M2,24,192,11.59,5.79,3.94,5940,5940,59162.4,106920,178200
中国香港,香港二区,内存型M2,32,256,15.45,7.73,5.26,7920,7920,78883.2,142560,237600
中国香港,香港二区,内存型M2,48,384,23.18,11.59,7.89,11880,11880,118324.8,213840,356400
中国香港,香港二区,内存型M2,56,448,27.04,13.52,9.2,13860,13860,138045.6,249480,415800
中国香港,香港三区,计算型C4,2,4,0.58,0.58,0.58,300,300,2988,5400,9000
中国香港,香港三区,计算型C4,4,8,1.17,1.17,1.17,600,600,5976,10800,18000
中国香港,香港三区,计算型C4,4,16,1.75,1.75,1.75,900,900,8964,16200,27000
中国香港,香港三区,计算型C4,8,16,2.33,2.33,2.33,1200,1200,11952,21600,36000
中国香港,香港三区,计算型C4,8,32,3.5,3.5,3.5,1800,1800,17928,32400,54000
中国香港,香港三区,计算型C4,16,32,4.67,4.67,4.67,2400,2400,23904,43200,72000
中国香港,香港三区,计算型C4,16,64,7,7,7,3600,3600,35856,64800,108000
中国香港,香港三区,计算型C4,32,128,14,14,14,7200,7200,71712,129600,216000
中国香港,香港三区,计算型C4,32,174,17.35,17.35,17.35,8925,8925,88893,160650,267750
中国香港,香港三区,计算型C4,32,256,23.33,23.33,23.33,12000,12000,119520,216000,360000
中国香港,香港三区,计算型C4,64,256,28,28,28,14400,14400,143424,259200,432000
中国香港,香港三区,计算型C4,64,348,34.7,34.7,34.7,17850,17850,177786,321300,535500
中国香港,香港二区,计算型C3,4,8,1.17,0.58,0.4,600,600,5976,10800,18000
中国香港,香港二区,计算型C3,4,16,1.75,0.88,0.6,900,900,8964,16200,27000
中国香港,香港二区,计算型C3,8,16,2.33,1.17,0.79,1200,1200,11952,21600,36000
中国香港,香港二区,计算型C3,8,32,3.5,1.75,1.19,1800,1800,17928,32400,54000
中国香港,香港二区,计算型C3,16,32,4.67,2.33,1.59,2400,2400,23904,43200,72000
中国香港,香港二区,计算型C3,16,64,7,3.5,2.38,3600,3600,35856,64800,108000
中国香港,香港二区,计算型C3,32,64,9.33,4.67,3.17,4800,4800,47808,86400,144000
中国香港,香港二区,计算型C3,32,128,14,7,4.76,7200,7200,71712,129600,216000
中国香港,香港二区,计算型C3,48,160,18.66,9.33,6.35,9600,9600,95616,172800,288000
中国香港,香港一区,计算型C2,4,8,1.17,0.58,0.4,600,600,5976,10800,18000
中国香港,香港一区,计算型C2,4,16,1.75,0.88,0.6,900,900,8964,16200,27000
中国香港,香港一区,计算型C2,8,16,2.34,1.17,0.79,1200,1200,11952,21600,36000
中国香港,香港一区,计算型C2,8,32,3.5,1.75,1.19,1800,1800,17928,32400,54000
中国香港,香港一区,计算型C2,16,32,4.67,2.34,1.59,2400,2400,23904,43200,72000
中国香港,香港二区,计算型C2,16,64,7.01,3.5,2.38,3600,3600,35856,64800,108000
中国香港,香港一区,计算型C2,32,64,9.35,4.67,3.18,4800,4800,47808,86400,144000
中国香港,香港二区,计算型C2,32,96,11.68,5.84,3.97,6000,6000,59760,108000,180000
中国香港,香港二区,GPU计算型GN7,4,20,2.79,1.4,0.95,1340.75,1340.75,13353.82,24133.41,40222.35
中国香港,香港二区,GPU计算型GN7,8,32,7.16,3.58,2.43,3437.7,3437.7,34239.49,61878.6,103131
中国香港,香港二区,GPU计算型GN7,10,40,5.73,2.86,1.95,2750.25,2750.25,27392.49,49504.5,82507.5
中国香港,香港二区,GPU计算型GN7,20,80,11.46,5.73,3.89,5500.5,5500.5,54784.98,99009,165015
中国香港,香港二区,GPU计算型GN7,32,128,15.75,7.87,5.35,7563.3,7563.3,75330.47,136139.4,226899
中国香港,香港二区,GPU计算型GN7,40,160,22.91,11.45,7.79,11001,11001,109569.96,198018,330030
中国香港,香港二区,GPU计算型GN7,80,320,45.83,22.91,15.58,22002,22002,219139.92,396036,660060
中国香港,香港二区,GPU计算型GN8,6,56,15.54,12.43,10.88,7460,7460,74301.6,187992,313320
中国香港,香港二区,GPU计算型GN8,14,112,31.5,25.2,22.05,15120,15120,150595.2,381024,635040
中国香港,香港二区,GPU计算型GN8,28,224,62.99,50.4,44.1,30240,30240,301190.4,762048,1270080
中国香港,香港二区,GPU计算型GN8,56,448,125.98,100.79,88.2,60480,60480,602380.8,1524096,2540160
中国香港,香港二区,GPU计算型GN10Xp,10,40,20.36,20.36,20.36,9775,9775,97359,175950,293250
中国香港,香港二区,GPU计算型GN10Xp,20,80,40.73,40.73,40.73,19550,19550,194718,351900,586500
中国香港,香港二区,GPU计算型GN10Xp,40,160,81.46,81.46,81.46,39100,39100,389436,703800,1173000
中国香港,香港二区,GPU计算型GN10Xp,80,320,162.91,162.91,162.91,78200,78200,778872,1407600,2346000
中国香港,香港三区,大数据型D1,56,224,12.96,10.24,9.36,12240,12240,121910.4,220320,367200
中国香港,香港二区,高IO型黑石物理服务器BMI5,96,384,-,-,-,18280,18280,182068.8,329040,548400
中国香港,香港二区,GPU型黑石物理服务器BMG5t,96,384,-,-,-,29280,29280,291628.8,527040,878400
新加坡,新加坡二区,标准型SA2,1,1,0.08,0.08,0.08,39,39,388.44,702,1170
新加坡,新加坡二区,标准型SA2,1,2,0.16,0.16,0.16,79,79,786.84,1422,2370
